url,bucket,status,title,description,h1,h2_count,internal_link_count
https://dotfun.co/,dotfun-growth-services-current,200,dotfun | Human-First Growth Marketing & Design Agency,"Strategic, data-driven growth agency offering marketing, branding, and operations. No smoke, no mirrors—just clear KPIs and results. Partner with dotfun today.",human first,6,23
https://dotfun.co/about,dotfun-growth-services-current,200,About dotfun | Growth Marketing & Digital Agency,"dotfun is a growth-focused digital agency offering marketing, branding, and operations support. 30+ years combined experience. We're growth partners, not vendors.",About us,3,14
https://dotfun.co/blog,dotfun-growth-services-current,200,Blog | Growth Marketing & Web Development Insights,"Latest insights on AI, growth marketing, web development, and design from dotfun's team. Learn strategies to grow your business with expert guides and case studies.",dotfun Blog,0,28
https://dotfun.co/blogs/aeo-profitable-shift-marketing-2026,dotfun-growth-services-current,200,Why AEO Is Marketing's Profitable Shift in 2026 | dotfun,"73% of searches end without a click. If the AI is not quoting your brand, you are invisible. Here is the CEO's guide to Answer Engine Optimization in 2026.",Why AEO Is the Most Profitable Shift Your Marketing Team Can Make in 2026 | Why AEO is the most profitable shift your marketing team can make in 2026,10,16
https://dotfun.co/blogs/ai-agents-for-marketing-10-workflows-to-automate-first,dotfun-growth-services-current,200,AI Agents for Marketing: 10 Workflows to Automate First | dotfun,"AI agents for marketing teams: the 10 highest-impact workflows to automate first, sequenced for real business results.",AI Agents for Marketing: 10 Workflows to Automate First,19,17
https://dotfun.co/blogs/answer-engine-optimization-b2b,dotfun-growth-services-current,200,Answer Engine Optimization for B2B: SEO Fundamentals That Win in 2026,"dotfun’s practical stance: AEO/GEO is mostly great SEO done right. Learn the framework, rollout plan, and metrics for growth-stage B2B teams.",Answer Engine Optimization for B2B: Why It’s Mostly Just Great SEO,14,17
https://dotfun.co/blogs/b2b-growth-marketing-what-actually-works-after-series-a,dotfun-growth-services-current,200,B2B Growth Marketing After Series A: Practical 90-Day Plan,"Learn what actually works in B2B growth marketing after Series A: channel sequencing, measurement setup, sales handoff, and a practical 90-day plan.",B2B growth marketing: what actually works after Series A,15,18
https://dotfun.co/blogs/data-driven-design-creative-testing-pipeline-quality,dotfun-growth-services-current,200,Creative Testing for Better B2B Pipeline Quality | dotfun,"Learn how to build a data-driven design system that connects creative testing to B2B pipeline quality. Practical framework for message testing, A/B methodology, and revenue attribution.",Data-driven design: how creative testing improves pipeline quality,8,19
https://dotfun.co/blogs/fractional-marketing-team-vs-in-house-hiring,dotfun-growth-services-current,200,Fractional Marketing Team vs In-House Hiring | dotfun,"Learn when a fractional marketing team is better than in-house hiring, where each model wins, and how to choose using a practical 30-60-90 decision framework.","Fractional marketing team vs in-house hiring: speed, cost, and control tradeoffs",15,19
https://dotfun.co/blogs/growth-stage-marketing-where-to-start-b2b,dotfun-growth-services-current,200,Growth Stage Marketing: Where to Start in B2B | DotFun,"Growth stage marketing in B2B is about sequence, not just channels. Here is the order that actually builds a compounding pipeline: SEO first, then Google Ads, LinkedIn, retargeting, and reviews.",Growth Stage Marketing: Where to Start in B2B (And What Order Actually Matters),6,16
https://dotfun.co/blogs/instantly-connect-claude-code-to-jira-and-confluence-with-atlassian-mcp,dotfun-growth-services-current,200,Connect Claude Code to JIRA & Confluence with Atlassian MCP,Integrate Atlassian MCP with Claude Code in one command. Access JIRA tickets and Confluence docs directly from your terminal for seamless development workflows.,Connect Claude Code to JIRA and Confluence with Atlassian MCP,0,15
https://dotfun.co/blogs/the-story-of-dotfun,dotfun-growth-services-current,200,The Story of dotfun | How We Built a Growth Agency,"Discover how three friends built dotfun, a digital growth agency specializing in WordPress-to-Webflow migrations and AI-powered marketing since 2021.",The Story of dotfun,0,15
https://dotfun.co/blogs/unique-selling-proposition-b2b-brands,dotfun-growth-services-current,200,Unique Selling Propositions: 10 B2B Brands That Get It Right | DotFun,"The best B2B brands don't win by being better — they win by being the only. Here are 10 companies that built category-defining positions, and the framework to find yours.",Unique Selling Propositions: 10 B2B Brands That Get It Right,8,16
https://dotfun.co/blogs/webflow-vs-wordpress-vs-shopify-which-platform-fits-your-needs-best,dotfun-growth-services-current,200,Webflow vs WordPress vs Shopify 2025: Platform Comparison,"Compare Webflow, WordPress, and Shopify for 2025. Expert analysis of design, SEO, ecommerce, and pricing to choose the best platform for your business needs.",Webflow vs WordPress vs Shopify: Which Platform Fits Your Needs Best?,8,15
https://dotfun.co/blogs/what-is-growth-marketing-key-differences-from-digital-marketing,dotfun-growth-services-current,200,Growth Marketing vs Digital Marketing: Full Guide 2025,"Discover how growth marketing differs from digital marketing. Learn full-funnel strategies, ROI optimization, and why businesses are shifting to growth-focused approaches.",What is growth marketing?,8,15
https://dotfun.co/blogs/why-hire-fractional-cmo-growth-marketing-team,dotfun-growth-services-current,200,Why Hire a Fractional CMO or Growth Marketing Team | DotFun,Growth-stage B2B companies often have the team but not the leadership. Learn how a fractional growth marketing team closes that gap faster and at lower cost than a full-time hire.,Why Hire a Fractional Growth Marketing Team or CMO?,9,16
https://dotfun.co/blogs/will-ai-replace-graphic-designers,dotfun-growth-services-current,200,Will AI Replace Graphic Designers? The Future of Design,Explore whether AI will replace graphic designers. Learn how 83% of creatives use AI as a productivity partner while maintaining creative control and strategic vision.,Will AI replace Graphic Designers,4,15
https://dotfun.co/contact-us,dotfun-growth-services-current,200,Contact dotfun | Growth Marketing & Design Agency,"Get in touch with dotfun for growth marketing, web design, and operations support. Call +1 512-746-7247 or email connect@dotfun.co. We got answers!",Contact us,0,14
